No.,Title,Artist
1,November Rain,Guns N’ Roses
2,One Sweet Day,Mariah Carey & Boyz II Men
3,Please Please Please Let Me Get What I Want,The Smiths
4,Black,Pearl Jam
5,Sign of the Times,Harry Styles
6,My Heart Will Go On,Céline Dion
7,Here Comes Goodbye,Rascal Flatts
8,Adam’s Song,Blink‑182
9,The Wolves (Act I and II),Bon Iver
10,Rainbow Connection,Kermit the Frog (The Muppets)
11,See You Again,Wiz Khalifa feat. Charlie Puth
12,How to Save a Life,The Fray
13,Father and Son,Yusuf / Cat Stevens
14,Iris,Goo Goo Dolls
15,Streets of Philadelphia,Bruce Springsteen
16,Fire and Rain,James Taylor
17,River,Joni Mitchell
18,I Don’t Want to Miss a Thing,Aerosmith
19,I Will Always Love You,Dolly Parton (and Whitney Houston)
20,Chasing Cars,Snow Patrol
21,Dust in the Wind,Kansas
22,Cat’s in the Cradle,Harry Chapin
23,Bad Religion,Frank Ocean
24,Yesterday,The Beatles
25,Landslide,Fleetwood Mac
26,Dance with My Father,Luther Vandross
27,Lazarus,David Bowie
28,My Immortal,Evanescence
29,Who Wants to Live Forever,Queen
30,One More Light,Linkin Park
31,What a Wonderful World,Louis Armstrong
32,I Will Follow You into the Dark,Death Cab for Cutie
33,Someone Like You,Adele
34,Lay Me Down,Sam Smith
35,Fake Plastic Trees,Radiohead
36,Nothing Compares 2 U,Sinéad O’Connor
37,Angel,Sarah McLachlan
38,Fix You,Coldplay
39,Wild Horses,The Rolling Stones
40,Wake Me Up When September Ends,Green Day
41,The Sound of Silence,Simon & Garfunkel
42,Wish You Were Here,Pink Floyd
43,Mad World,Michael Andrews feat. Gary Jules
44,Fast Car,Tracy Chapman
45,The Living Years,Mike + The Mechanics
46,Candle in the Wind,Elton John
47,Hallelujah,Jeff Buckley
48,Everybody Hurts,R.E.M.
49,Hurt,Johnny Cash
50,Tears in Heaven,Eric Clapton
